n,metodo,tempo_us
10000,selecao,98036
10000,insercao,0
10000,merge,15653
20000,selecao,406999
20000,insercao,0
20000,merge,0
30000,selecao,908103
30000,insercao,0
30000,merge,21901
40000,selecao,1582978
40000,insercao,0
40000,merge,31262
50000,selecao,2556559
50000,insercao,0
50000,merge,31262
60000,selecao,3606507
60000,insercao,0
60000,merge,31242
70000,selecao,4825426
70000,insercao,0
70000,merge,31297
80000,selecao,6307151
80000,insercao,0
80000,merge,31261
90000,selecao,7999604
90000,insercao,0
90000,merge,31261
100000,selecao,9976848
100000,insercao,0
100000,merge,47213
