n,metodo,tempo_us
10000,selecao,101632
10000,insercao,192793
10000,merge,0
20000,selecao,391839
20000,insercao,800973
20000,merge,15673
30000,selecao,892670
30000,insercao,1816839
30000,merge,15638
40000,selecao,1566745
40000,insercao,3230143
40000,merge,15621
50000,selecao,2494726
50000,insercao,5051474
50000,merge,31262
60000,selecao,3575079
60000,insercao,7309303
60000,merge,31265
70000,selecao,4848212
70000,insercao,9864038
70000,merge,46883
80000,selecao,6353729
80000,insercao,12831134
80000,merge,47464
90000,selecao,8013300
90000,insercao,16360945
90000,merge,62505
100000,selecao,9994550
100000,insercao,20507593
100000,merge,62503
