n,metodo,tempo_us
10000,selecao,100851
10000,insercao,412512
10000,merge,16606
100000,selecao,9335105
100000,insercao,40344611
100000,merge,62485
20000,selecao,360373
20000,insercao,1613511
20000,merge,15655
30000,selecao,848571
30000,insercao,3661156
30000,merge,15620
40000,selecao,1487552
40000,insercao,6540498
40000,merge,11644
50000,selecao,2337296
50000,insercao,10086988
50000,merge,19705
60000,selecao,3403225
60000,insercao,14935112
60000,merge,47215
70000,selecao,6351790
70000,insercao,20564479
70000,merge,31242
80000,selecao,6006645
80000,insercao,25880856
80000,merge,46882
90000,selecao,7591796
90000,insercao,32768604
90000,merge,46831
